Club;PlayerValue;Goals;Points
Bayern;10. Apr;34;33
Wolfsburg;Mai 34;32;24
HSV;Apr 38;34;31
Leverkusen;04. Nov;35;35
Bremen;04. Mai;32;28
Stuttgart;04. Jan;16;16
Schalke;Maerz 58;26;34
Hoffenheim;Maerz 29;27;30
Dortmund;Maerz 21;23;30
Hertha;Feb 45;13;6
Koeln;Jan 98;10;18
Hannover;Jan 86;21;17
Frankfurt;Jan 87;22;24
Bochum;Jan 58;18;16
Gladbach;Jan 54;24;21
Mainz;Jan 16;21;24
Nuernberg;Jan 16;12;12
Freiburg;01. Dez;19;18
